frame_id,time_stamp, ,normal, , ,start, , ,end, , ,direction, 
54653,352686801118,0.715045,-0.658948,-0.23345,-4.70067,156.55,-83.3949,6.6235,148.725,-89.2686,-0.756691,0.522851,0.392485
54653,352686801118,0.715045,-0.658948,-0.23345,-87.7867,129.508,-12.0025,-62.5372,159.71,-58.7441,-0.41318,-0.494215,0.764875
54653,352686801118,0.715045,-0.658948,-0.23345,-62.5372,159.71,-58.7441,-31.2823,155.664,-86.837,-0.740303,0.0958309,0.665409
54653,352686801118,0.715045,-0.658948,-0.23345,-31.2823,155.664,-86.837,-10.9793,147.426,-98.6826,-0.815133,0.330724,0.475584
54653,352686801118,0.715045,-0.658948,-0.23345,-10.9793,147.426,-98.6826,2.54996,139.806,-104.143,-0.821949,0.462962,0.331762
54653,352686801118,0.715045,-0.658948,-0.23345,-93.6465,124.373,-19.425,-76.3469,147.348,-66.1503,-0.315301,-0.418733,0.851615
54653,352686801118,0.715045,-0.658948,-0.23345,-76.3469,147.348,-66.1503,-47.1131,145.242,-92.0829,-0.746999,0.0538109,0.662644
54653,352686801118,0.715045,-0.658948,-0.23345,-47.1131,145.242,-92.0829,-26.8858,139.062,-103.975,-0.833619,0.254701,0.490108
54653,352686801118,0.715045,-0.658948,-0.23345,-26.8858,139.062,-103.975,-12.8968,133.053,-109.978,-0.854793,0.367145,0.366789
54653,352686801118,0.715045,-0.658948,-0.23345,-96.1759,113.936,-25.755,-86.4766,132.67,-71.956,-0.190969,-0.36886,0.909655
54653,352686801118,0.715045,-0.658948,-0.23345,-86.4766,132.67,-71.956,-60.8844,133.282,-89.3883,-0.82632,-0.0197627,0.562854
54653,352686801118,0.715045,-0.658948,-0.23345,-60.8844,133.282,-89.3883,-45.4868,131.073,-96.5665,-0.898785,0.128945,0.418998
54653,352686801118,0.715045,-0.658948,-0.23345,-45.4868,131.073,-96.5665,-31.5767,127.847,-101.47,-0.921328,0.213732,0.324765
54654,352686812408,0.714223,-0.689238,-0.121804,-58.2734,123.354,-3.63742,-58.2734,123.354,-3.63742,0,0,0
54654,352686812408,0.714223,-0.689238,-0.121804,-58.2734,123.354,-3.63742,-25.2911,149.024,-16.4795,-0.754346,-0.587107,0.293714
54654,352686812408,0.714223,-0.689238,-0.121804,-25.2911,149.024,-16.4795,-3.44263,162.037,-32.1384,-0.731586,-0.435728,0.524332
54654,352686812408,0.714223,-0.689238,-0.121804,-3.44263,162.037,-32.1384,10.0855,167.46,-46.5537,-0.659932,-0.264549,0.70321
54654,352686812408,0.714223,-0.689238,-0.121804,-70.6974,137.008,-13.1399,-32.146,170.094,-52.7837,-0.598253,-0.513437,0.615204
54654,352686812408,0.714223,-0.689238,-0.121804,-32.146,170.094,-52.7837,-1.3269,164.695,-73.6913,-0.818981,0.143461,0.555598
54654,352686812408,0.714223,-0.689238,-0.121804,-1.3269,164.695,-73.6913,16.0321,155.863,-81.9907,-0.819942,0.417155,0.392017
54654,352686812408,0.714223,-0.689238,-0.121804,16.0321,155.863,-81.9907,27.652,147.308,-85.9592,-0.776458,0.57166,0.265176
54654,352686812408,0.714223,-0.689238,-0.121804,-76.5811,134.472,-21.8161,-44.4264,162.387,-65.6491,-0.526175,-0.456785,0.717278
54654,352686812408,0.714223,-0.689238,-0.121804,-44.4264,162.387,-65.6491,-9.90921,156.28,-89.1803,-0.817576,0.144635,0.55736
54654,352686812408,0.714223,-0.689238,-0.121804,-9.90921,156.28,-89.1803,11.4352,146.879,-97.9223,-0.856944,0.377438,0.350981
54654,352686812408,0.714223,-0.689238,-0.121804,11.4352,146.879,-97.9223,25.2402,138.562,-101.267,-0.838696,0.505274,0.203191
54654,352686812408,0.714223,-0.689238,-0.121804,-81.6235,129.315,-29.8015,-57.6171,150.275,-74.4636,-0.437539,-0.38203,0.81401
54654,352686812408,0.714223,-0.689238,-0.121804,-57.6171,150.275,-74.4636,-25.4059,146.423,-96.353,-0.823079,0.0984447,0.55933
54654,352686812408,0.714223,-0.689238,-0.121804,-25.4059,146.423,-96.353,-4.05047,139.096,-105.242,-0.880115,0.301964,0.366354
54654,352686812408,0.714223,-0.689238,-0.121804,-4.05047,139.096,-105.242,10.3455,132.317,-109.068,-0.879657,0.414208,0.233741
54654,352686812408,0.714223,-0.689238,-0.121804,-83.7026,118.781,-36.1362,-67.4526,135.776,-81.1551,-0.319946,-0.33461,0.886381
54654,352686812408,0.714223,-0.689238,-0.121804,-67.4526,135.776,-81.1551,-39.9644,135.288,-95.4162,-0.887539,0.0157612,0.460463
54654,352686812408,0.714223,-0.689238,-0.121804,-39.9644,135.288,-95.4162,-23.866,132.357,-100.49,-0.939687,0.171089,0.29617
54654,352686812408,0.714223,-0.689238,-0.121804,-23.866,132.357,-100.49,-9.57159,128.443,-103.371,-0.946787,0.259192,0.190823
54655,352686822177,0.681617,-0.727524,-0.0781554,-44.3545,126.376,-11.1855,-44.3545,126.376,-11.1855,0,0,0
54655,352686822177,0.681617,-0.727524,-0.0781554,-44.3545,126.376,-11.1855,-8.22615,149.776,-18.8612,-0.826298,-0.535175,0.175554
54655,352686822177,0.681617,-0.727524,-0.0781554,-8.22615,149.776,-18.8612,15.9807,160.634,-32.573,-0.810555,-0.363591,0.459132
54655,352686822177,0.681617,-0.727524,-0.0781554,15.9807,160.634,-32.573,30.758,164.242,-46.315,-0.720866,-0.175969,0.670364
54655,352686822177,0.681617,-0.727524,-0.0781554,-54.8732,141.149,-21.2956,-10.4415,173.275,-55.1521,-0.689505,-0.498541,0.525395
54655,352686822177,0.681617,-0.727524,-0.0781554,-10.4415,173.275,-55.1521,22.0867,166.685,-72.8886,-0.864401,0.175106,0.471327
54655,352686822177,0.681617,-0.727524,-0.0781554,22.0867,166.685,-72.8886,39.6769,157.061,-79.6831,-0.830863,0.454608,0.320934
54655,352686822177,0.681617,-0.727524,-0.0781554,39.6769,157.061,-79.6831,51.1233,147.932,-82.782,-0.764861,0.610008,0.20707
54655,352686822177,0.681617,-0.727524,-0.0781554,-59.9351,139.332,-30.6444,-21.7078,166.868,-69.5658,-0.625548,-0.450599,0.636906
54655,352686822177,0.681617,-0.727524,-0.0781554,-21.7078,166.868,-69.5658,14.7147,159.512,-89.6089,-0.862704,0.174256,0.474739
54655,352686822177,0.681617,-0.727524,-0.0781554,14.7147,159.512,-89.6089,36.2847,149.135,-96.4971,-0.866001,0.416608,0.27655
54655,352686822177,0.681617,-0.727524,-0.0781554,36.2847,149.135,-96.4971,49.8596,140.107,-98.7651,-0.824721,0.548497,0.137791
54655,352686822177,0.681617,-0.727524,-0.0781554,-64.3891,134.82,-39.3392,-34.5675,155.968,-80.2514,-0.543528,-0.385438,0.745665
54655,352686822177,0.681617,-0.727524,-0.0781554,-34.5675,155.968,-80.2514,-0.487216,150.951,-98.8233,-0.870836,0.128209,0.474559
54655,352686822177,0.681617,-0.727524,-0.0781554,-0.487216,150.951,-98.8233,21.2213,142.541,-105.663,-0.894666,0.34659,0.281865
54655,352686822177,0.681617,-0.727524,-0.0781554,21.2213,142.541,-105.663,35.4863,134.914,-108.146,-0.871657,0.466033,0.151749
54655,352686822177,0.681617,-0.727524,-0.0781554,-66.3923,124.696,-46.3314,-44.4632,142.391,-88.5875,-0.431762,-0.3484,0.831985
